No.,Nama Jurnal,Singkatan Nama Jurnal,Link Jurnal,ISSN,E ISSN,Bidang,Bidang Ilmu,Sinta,Masa aktif Sinta,Scopus,Masa aktif Scopus,Penerbit,Kota Terbit
114,Journal of Civil Engineering and Technology Sciences,JCETS,https://jurnal2.untagsmg.ac.id/index.php/JCETS,2963-7244,2964-6960,Penelitian,Sipil,S5,2022 - 2027,blm_scopus,-,Universitas 17 Agustus 1945 Semarang,"Palembang, Sumatera Selatan"
115,Musamus Journal of Civil Engineering,MJCE,https://ejournal.unmus.ac.id/index.php/civil,2622-870X,2622-8084,Penelitian,Sipil,S5,2016 - 2024,blm_scopus,-,Universitas Musamus,"Probolinggo, Jawa Timur"
116,Jurnal Ilmiah Kesehatan Ar-Rum Salatiga,JIKAR,http://e-journal.ar-rum.ac.id/index.php/JIKA,2528-3685,2598-3857,Penelitian,Kesehatan,S5,2018 - 2027,blm_scopus,-,-,"Manado, Sulawesi Utara"
117,Jurnal Ilmiah Penyuluhan dan Pengembangan Masyarakat,JIPPM,https://ojs.uho.ac.id/index.php/JIPPM,-,2775-7145,Penelitian,Sosial & Politik,S5,2021 - 2025,blm_scopus,-,Universitas Halu Oleo,"Jambi, Jambi"
118,EDUKASI,EDUKASI,https://ejournal-fkip.unisi.ac.id/judek,2087-0310,2721-7728,Penelitian,Pendidikan,S5,2022 - 2087,blm_scopus,-,Universitas Islam Indragiri,"Cirebon, Jawa Barat"
119,AT-TAISIR: Journal of Indonesian Tafsir Studies,AT-TAISIR,https://jurnal.idaqu.ac.id/index.php/at-taisir,2775-0175,2775-3239,Penelitian,Islam,S5,2021 - 2025,blm_scopus,-,Institut Daarul Qur'an Jakarta,"Palu, Sulawesi Tengah"
120,SPIRIT,SPIRIT,http://jurnal.stmik-yadika.ac.id/index.php/spirit,2085-3092,2721-057X,Penelitian,Pendidikan,S5,2019 - 2085,blm_scopus,-,Institut Teknologi dan Bisnis Yadika Pasuruan,"Pekanbaru, Riau"
121,Jurnal Abdi Panca Marga,JAPM,https://ejournal.upm.ac.id/index.php/abdipancamarga,1599-1938,2746-4105,Penelitian,Sosial & Politik,S5,2020 - 2024,blm_scopus,-,Universitas Panca Marga Probolinggo,"Pekalongan, Jawa Tengah"
122,GENIUS JOURNAL (General Nursing Science Journal),GENIUS,https://genius.inspira.or.id/index.php/gj,-,2723-7729,Penelitian,Keperawatan,S5,2020 - 2025,blm_scopus,-,Yayasan Inspirasi El Burhani,"Jember, Jawa Timur"
123,ADINDAMAS: Jurnal Pengabdian Kepada Masyarakat,ADINDAMAS,https://journal.sties-purwakarta.ac.id/index.php/adindamas,2798-4702,2798-2874,Pengabdian,Sosial & Politik,S5,2021 - 2025,blm_scopus,-,STIE Syariah Indonesia Purwakarta,"Palu, Sulawesi Tengah"
124,Spektrum Sipil,SPEKTRUM,http://spektrum.unram.ac.id/index.php/Spektrum,1858-4896,2581-2505,Penelitian,Sipil,S5,2020 - 2028,blm_scopus,-,Universitas Mataram,"Cirebon, Jawa Barat"
125,Masker Medika,MASKER,https://jmm.ikestmp.ac.id/index.php/maskermedika,2301-8631,2654-8658,Penelitian,Kesehatan,S5,2020 - 2028,blm_scopus,-,-,"Sidoarjo, Jawa Timur"
126,Journal AK-99,AK-99,http://jurnal.umpar.ac.id/index.php/ak99,-,2775-6726,Penelitian,Akuntansi,S5,2019 - 2026,blm_scopus,-,Universitas Muhammadiyah Parepare,"Tasikmalaya, Jawa Barat"
127,Jurnal Ilmiah Pamenang (JIP),JIP,https://jurnal.stikespamenang.ac.id/index.php/jip,2716-0483,2715-6036,Penelitian,Pendidikan,S5,2020 - 2025,blm_scopus,-,Sekolah Tinggi Ilmu Kesehatan Pamenang,"Palu, Sulawesi Tengah"
